A Bad Haircut	The perfect start to a bad hair day. [Core Expansion 1, Party Box]
Confucius	c. 551-479 BC, K'ung Fu-Tzu, Chinese philosopher and one of the most influential figures in Chinese history. [Core Set, Party Box]
Conspiracy Theories	Oh, that was just a coincidence! [Core Expansion 1, Party Box]
Construction Workers	Hard hats -hard bodies. [Core Expansion 1, Party Box]
Convenience Stores	"Thank you come again." [Core Expansion 3, Party Box Expansion 1]
Cooking Dinner	What's for dinner? [Junior Set (1st) & (2nd)]
Cops & Robbers	When fighting crime was just child's play. [Core Expansion 4, Party Box Expansion 1]
Corn Fields	Knee high by the Fourth of July. [Core Expansion 3, Party Box Expansion 1]
Corn On The Cob	A grain native to the Americas, corn was a staple food for many centuries before corn holders were invented. [Core Set, Party Box]
Corned Beef & Cabbage	It's not chopped liver. [Core Expansion 4, Party Box Expansion 1]
Corrugated Cardboard	When you want to think out of the box . . . [Core Expansion 3, Party Box Expansion 1]
Corvettes	In 1953, Chevrolet introduced the Corverre, the first mass-produced sports car with a fiberglass body. The perfect cure for a midlife crisis. [Core Expansion 1, Party Box]
Cottage Cheese	If it's so popular, where are all the Cottage Cheeseheads? [Core Expansion 3, Party Box Expansion 1]
Coughing & Sneezing	And no cure in sight. [Core Expansion 4, Party Box Expansion 1]
Count Dracula	"I vant to suck your blood!" [Core Expansion 1, Party Box]
Country Music	Encompassing styles such as western swing, honky-tonk, bluegrass and rockabilly. Should mention a pickup truck and a dog named "Bo." [Core Expansion 2, Party Box]
Cow-Pies	When dried, these "cow chips" are hurled discus-like over great distances. It's true. [Core Set, Party Box]
Cowboys	Head 'em up and move 'em out! [Core Expansion 3, Party Box Expansion 1]
Cowboys & Indians	How the west was won... and lost. [Core Expansion 4, Party Box Expansion 1]
Crabs	As crustaceans, crabs are related to lobster and shrimp. What do they all have in common? They all go well with butter. [Core Expansion 3, Party Box Expansion 1]
Crash & Burn	Try, try again. [Core Expansion 4, Party Box Expansion 1]
Crazy Horse	1849?-77, chief of the Oglala Sioux. A leader in the Native American resistance to the westward expansion on the United States. [Core Expansion 1, Party Box]
Cream & Sugar	Do you want some coffee with that? [Core Expansion 4, Party Box Expansion 1]
Creamed Corn	Eat it, it's good for you. [Core Expansion 1, Party Box]
Crime & Punishment	Fyodor Dostoevsky's 1917 classic novel following the tormented life of the murderer Rodion Romanovich Roskolnikov. [Core Expansion 4, Party Box Expansion 1]
Crystal Balls	I see a Green Apple card in your future. [Core Expansion 2, Party Box]
Cuba	Island republic in the Caribbean, just south of Florida. Beans and rice never tasted so good. [Core Expansion 2, Party Box]
Cults	They seemed nice ... [Core Expansion 1, Party Box]
Cup & Saucer	Tea Time! [Core Expansion 4, Party Box Expansion 1]
Curds & Whey	What? It's just cottage cheese? [Core Expansion 4, Party Box Expansion 1]
Currier & Ives	The lithography shop operated from 1834 to 1907 and produced over 7500 titles, all of which could have been called "Life In America." [Core Expansion 4, Party Box Expansion 1]
Custer's Last Stand	1866, Little Big Horn. Very big mistake. [Core Set, Party Box]
Cut & Curl	You'll look mah-velous! [Core Expansion 4, Party Box Expansion 1]
D-Day, 1944	On June 6, 1944 the Allied forces invaded France, employing over 10,000 airplanes, 5,000 ships, and 250,000 servicemen. [Core Expansion 3, Party Box Expansion 1]
Dallas & Fort Worth	The heart & soul of Texas. [Core Expansion 4, Party Box Expansion 1]
Dancing	Moving your feet and body in time with music. Cha-cha-cha. [Kids Set]
Dandruff	Dry skin on your scalp? Sounds a bit flaky. [Core Set, Party Box]
Danielle Steel	1947- , Prolific romance novelist. "Suddenly, Stephanie spotted Lance on the beach ..." [Core Expansion 1, Party Box]
Danny DeVito	1944- , American television, motion-picture actor, and director. Star of Taxi, Romancing The Stone, Twins, and Get Shorty. [Core Expansion 2, Party Box]
Dark Alleys	Don't go there! [Core Expansion 1, Party Box]
Darth Vader	"Luke ... (wheeze) .. I am ... (wheeze) ... your father ... and you don't write, you don't call ... NOTHING." [Core Expansion 1, Party Box]
Dating	First stage of the human mating ritual. [Core Expansion 2, Party Box]
David & Goliath	Bible story featuring the future king David and the Philistine giant Goliath. The bigger they come, the harder they fall. [Core Expansion 4, Party Box Expansion 1]
David Letterman	1947- , American television entertainer and talk-show host. And ... the Number One reason to watch him (drum roll, please): TOP TEN LISTS! [Core Expansion 1, Party Box]
Day Care Centers	Preschool for preschool. [Core Expansion 3, Party Box Expansion 1]
Daytime TV	Soap operas, game shows, talk shows and reruns ... is this a great country or what? [Core Expansion 2, Party Box]
Death & Dying	The only way out. [Core Expansion 4, Party Box Expansion 1]
Death & Taxes	The two certainties in life. [Core Expansion 4, Party Box Expansion 1]
Deer Hunting	Nooo! Nooooo! Not BAMBI'S MOTHER! [Core Expansion 1, Party Box]
Demi Moore	1962-, American actor in St. Elmo's Fire, Ghost and GI Jane. [Core Expansion 1, Party Box]
Democrats	Their symbol is the donkey, or ass. Insert your own joke here. [Core Set, Party Box]
Dennis Rodman	1961- , American professional basketball player and full-time human oddity. [Core Set (1999 Printing Only)]
Denzel Washington	1954- , American actor known for his powerful roles in such movies as Cry Freedom, Malcolm X, and Mississippi Masala. [Core Expansion 2, Party Box]
Detroit	The Motor City is the world's foremost automobile manufacturing center, and the tenth largest city in the U.S. [Core Set, Party Box]
Diamonds	The hard fact: they are just highly refractive crystalline allotropes. [Core Set, Party Box]
Dinner & A Movie	And a mortgage to pay for it. [Core Expansion 4, Party Box Expansion 1]
Dirt	Good in the garden. [Junior Set (1st) & (2nd)]
Dirty Dishes	That's why they make paper plates! [Junior Set (2nd)]
Discos	Where you go to catch "Saturday Night Fever." [Core Expansion 1, Party Box]
Discovering America	1492, Christopher Columbus discovered that America was discovered centuries before he arrived. [Core Set, Party Box]
Disneyland	You've just won the "Apples to Apples(R) Grand Masters Tournament." Where're you gonna go? [Core Set, Party Box]
Divorce	It's a trial separation that goes to trial. [Core Expansion 2, Party Box]
Doctors	Over twenty years of education and they're still "practicing" medicine? [Core Expansion 2, Party Box]
Doctors & Dentists	For a long life and healthy teeth. [Core Expansion 4, Party Box Expansion 1]
Dollars & Cents	"If it don't make dollars, it don't make sense." - DJ Quik [Core Expansion 4, Party Box Expansion 1]
Dodo Birds	A large, flightless bird of the island of Mauritius. Discovered by Europeans in 1598, extinct by 1681. [Core Expansion 3, Party Box Expansion 1]
Dog Days	101 degrees in the shade. [Core Expansion 3, Party Box Expansion 1]
Doing The Dishes	You wash, I'll watch. [Core Set, Party Box]
Doing The Hokey-Pokey	That's what it's all about. [Core Expansion 3, Party Box Expansion 1]
Dolly Parton	1967- , American singer, songwriter, and actor. Known as much for her personal style as for her successful career. [Core Expansion 1, Party Box]
Donuts	In 1993, a doughnut weighing over 3,700 pounds was made in Utica, N.Y. [Junior Set (2nd)]
Double Thick Malts	For a double thick ice cream headache. [Core Expansion 3, Party Box Expansion 1]
Dr. Evil	Arch-nemesis of Austin Powers. Riiiiiiight. [Core Expansion 3, Party Box Expansion 1]
Dr. Jekyll & Mr. Hyde	Robert Louis Stevenson's 1887 novel revealing the hypocrisy and innate evilness in society. The idea came to him in a dream - a bad dream. [Core Expansion 4, Party Box Expansion 1]
Dr. Kevorkin	1928- , Controversial advocate of doctor-assisted suicide. [Core Set, Party Box]
Dr. Laura	1947-, American conservative talk show host and promoter of family values. HER family values, that is . . . [Core Expansion 3, Party Box Expansion 1]
Dr. Seuss	1904-1991, Theodor Suess Geisel , the cat who came up with "The Cat in the Hat." [Core Set, Party Box]
Drew Barrymore	1975-, heir to the Barrymore acting dynasty. Drew starred in ET, The Wedding Singer, Charlie's Angels, and countless tabloid stories. [Core Expansion 3, Party Box Expansion 1]
Drew Carey	1958-, American comedian and television star. Whose line is it anyway? His. [Core Expansion 3, Party Box Expansion 1]
Drinking & Driving	Friends don't let friends drive drunk. [Core Expansion 4, Party Box Expansion 1]
Driving Off A Cliff	It was either that or hire someone to do my takes. [Core Expansion 2, Party Box]
Drunk Drivers	Number one highway safety problem. [Core Expansion 3, Party Box Expansion 1]
Duct Tape	All-purpose, ... all the time ... [Core Set, Party Box]
Dumb Blonde Jokes	Are they just naturally funny? [Core Expansion 3, Party Box Expansion 1]
Dump Trucks	Large trucks that carry dirt, sand, and rocks. [Junior Set (1st) & (2nd)]
Dungeons & Dragons	Popular role-playing game featuring swords, sorcery and wizards. Repeat after me: it's a game... it's only a game... [Core Expansion 4, Party Box Expansion 1]
Dustin Hoffman	1937-, highly regarded actor of The Graduate, Midnight Cowboy, and Rainman. He's an excellent driver! [Core Expansion 3, Party Box Expansion 1]
E-Mail	You've got JUNK mail! [Core Expansion 1, Party Box]
Ear Wax	A waxy, yellowish substance that protects the ear from dust, bacteria, and from hearing things you don't want to hear. [Core Expansion 1, Party Box]
Ears	What? [Junior Set (2nd)]
Earthquakes	The Richter scale is named after the American seismologist Charles Richter. Did the earth move for you? [Core Set, Party Box]
Earwigs	Nocturnal insects with abdominal pincers. Nothing to do with ears or wigs. [Core Expansion 2, Party Box]
East Coast	From New England to Florida. They're not like folks 'round here ... [Core Set, Party Box]
Ebony & Ivory	"Ebony and Ivory live together in perfect harmony." - Paul McCartney [Core Expansion 4, Party Box Expansion 1]
Eddie Murphy	1961-, American comedian, actor, and producer. Best known for his work in 48 Hours, Beverly Hills Cop and on Saturday Night Live. [Core Expansion 1, Party Box]
Eggplant	Without it there would be no Eggplant Parmesan. [Core Expansion 3, Party Box Expansion 1]
Eleanor Roosevelt	1884-1962, first lady, social activist, author, lecturer, and U.S. representative to the United Nations. [Core Set, Party Box]
Electric Eels	Slippery and slimy snakelike fishes that emit electrical charges. The shocking truth! [Core Expansion 1, Party Box]
Electricity	The repulsive or attractive force between two stationary bodies. No problem unless one of those bodies is yours. [Core Set, Party Box]
Elephants	The largest living land mammal, with two species: Indian and African. Not counting Dumbo, there are no American elephants. [Core Set, Party Box]
Elevators	The 110-story Sears Tower in Chicago has 104 elevators. [Junior Set (2nd)]
Elizabeth Taylor	1932- , American actor, noted for her lush beauty, emotional performances and multiple husbands. [Core Set, Party Box]
Elvis Presley	1935-77, American singer and actor and the king of rock-and-roll. His death left the music world all shook up. [Core Set, Party Box]
Emergency Rooms	Brings new meaning to he word "heartthrob." [Core Expansion 3, Party Box Expansion 1]
Emily Dickinson	1830-86, American poet, whose lyrics are psychologically astute treatments of love, death, and immortality. So there. [Core Set, Party Box]
Ernest Hemingway	1899-1961, American novelist and short-story writer, whose macho style is crisp, laconic and understated. [Core Set, Party Box]
Europe	The Old Country ... except to people who live there. [Core Set, Party Box]
Exorcism	To ceremoniously expel an evil spirit. [Core Expansion 1, Party Box]
Exterminators	Bugs, rats and vermin. It's time for chemical warfare. [Core Expansion 3, Party Box Expansion 1]
Eyes	Light-sensitive organ of vision in animals. See? [Core Set, Party Box]
Face Paint	You can be a clown, a pirate, a cat, or whatever you want. [Kids Set]
Fairies	Tiny, mischievous, mythical beings with magic powers. They live in Fairyland. Really. [Core Expansion 3, Party Box Expansion 1]
Faith Hill	1967-, American crossover country music artist. You just gotta have Faith. [Core Expansion 3, Party Box Expansion 1]
Falling Down	"What we call failure is not the falling down, but the staying down." -Mary Pickford [Core Expansion 1, Party Box]
Fame & Fortune	Everybody may have 15 minutes of fame, but fortune is another thing altogether. [Core Expansion 4, Party Box Expansion 1]
Family Reunions	Just to remind you why you moved away in the first place ... [Core Expansion 1, Party Box]
Family Vacations	Dad? Dad? Are we there yet? Are we there yet? Are we? Huh? Dad? [Core Expansion 1, Party Box]
Family Values	Often said but seldom understood. [Core Expansion 2, Party Box]
Farms	A place where animals and crops are raised for food. "Old McDonald had a farm." [Kids Set]
Fast Food	You want fries with that? [Core Expansion 1, Party Box]
Fat	I can't believe I ate the whooooooole thing. [Core Expansion 3, Party Box Expansion 1]
Fear & Loathing	In Las Vegas, or anywhere else. [Core Expansion 4, Party Box Expansion 1]
Feathers	Which weighs more, a pound of feathers or a pound of rocks? [Core Expansion 2, Party Box]
Feminists	Political and social activists who support selected women's causes. [Core Expansion 2, Party Box]
Ferdinand & Isabella	Late 15th century king and queen of Spain. They backed Christopher Columbus and benefitted royally. [Core Expansion 4, Party Box Expansion 1]
Fertilizer	Viagra for the garden. [Core Expansion 3, Party Box Expansion 1]
Festering Wounds	Quit picking at that! [Core Expansion 1, Party Box]
Fidel Castro	1927-, Cuban revolutionary and Communist dictator since 1976. He earned a PhD in law in 1950. [Core Set, Party Box]
Field & Stream	The hunter's best friend. [Core Expansion 4, Party Box Expansion 1]
Fire	Don't get burned! [Kids Set]
Firefighters	Emperor Augustus instituted a corps of fire-fighting "watchmen" in 24 B.C. Nero, on the other hand, fiddled while Rome burned. [Core Set, Party Box]
Firestorms	Some severe wildfires require more than 10,000 firefighters. And, wouldn't ya know it, some idiot parked in front of the hydrant! [Core Set, Party Box]
Fireworks	Includes firecrackers, Roman candles, and bottle rockets. It's all fun until someone loses an eye ... and a nose ... and an arm ... [Core Expansion 1, Party Box]
First Man On The Moon	July 20, 1969. "That's one small step for a man, one giant leap for mankind." -Neil A. Armstrong [Core Set, Party Box]
Fish & Chips	Just wrap it in any old newspaper. [Core Expansion 4, Party Box Expansion 1]
Flags	There are fifty stars and thirteen stripes on the flag of the United States of America. [Junior Set (1st) & (2nd)]
Flannel Shirts	Pick your plaid. [Core Expansion 3, Party Box Expansion 1]
Flash Floods	Too late for sandbags! [Core Expansion 3, Party Box Expansion 1]
Flies	A group of insects with wings. They enjoy picnics. [Junior Set (1st) & (2nd)]
Flipper	American television dolphin of the 1960's ... like Lassie, only wetter. [Core Expansion 2, Party Box]
Florence Nightengale	1820-1910, English nurse and health-care reformer. We've been singing her praises for years. [Core Expansion 3, Party Box Expansion 1]
Flower Gardens	No weeds allowed. [Junior Set (2nd)]
Flowers & Candy	When "I'm sorry" is not enough. [Core Expansion 4, Party Box Expansion 1]
Fly Fishing	... if you can"t catch flies any OTHER way ... [Core Expansion 1, Party Box]
Flying Monkeys	The reason why "The Wizard Of Oz" still gives us nightmares. [Core Expansion 1, Party Box]
Folk Music	When you're just fiddling around . . . [Core Expansion 3, Party Box Expansion 1]
Food & Shelter	Gotta have it. [Core Expansion 4, Party Box Expansion 1]
Food Poisoning	This chicken tastes kinda funny . . . [Core Expansion 3, Party Box Expansion 1]
Foot & Mouth	An infectious disease of animals with hooves. Not the same as foot-IN-mouth disease which affects everybody at one time or another. [Core Expansion 4, Party Box Expansion 1]
Football Players	Punt, pass, and kick! [Kids Set]
Forest Fires	"Only YOU can prevent forest fires." The heat is on! [Core Expansion 2, Party Box]
Forever & Ever	"Oh baby, I'm gonna love you forever / Forever and ever amen." - Randy Travis [Core Expansion 4, Party Box Expansion 1]
Fort Knox	American military post in Kentucky, containing the greater part of the gold reserve of the U.S. government. [Core Expansion 1, Party Box]
Fortune Cookies	"You will soon eat a flat, dry, tasteless cookie . . ." [Core Expansion 3, Party Box Expansion 1]
Fourth Of July	"Independence Day" in the United States. "Thank Goodness We Got Rid of Them Day" in Britain. [Core Set, Party Box]
Frank Lloyd Wright	1867-1959, pioneering American architect. Considered one of the greatest designers of the 20th century. [Core Expansion 1, Party Box]
Frank Sinatra	1915-98, the greatest American pop singer of his generation, award winning film and television actor. Do-be do-be do, baby. [Core Set, Party Box]
Freaks & Geeks	The 1999 television show, or those outside the social norm. [Core Expansion 4, Party Box Expansion 1]
Freckles	No matter what they tell you, freckles won't grow together to form a great-looking tan. [Core Expansion 1, Party Box]
Fred & Ginger	Fred Astair & Ginger Rogers - tap dancing their way into the hearts of millions. [Core Expansion 4, Party Box Expansion 1]
Fred & Wilma	Meet the Flintstones. "Yabba-dabba-doooo!" [Core Expansion 4, Party Box Expansion 1]
Fred Flintstone	Yaba-daba-dooooo! [Core Expansion 3, Party Box Expansion 1]
Freedom	Express yourself! [Core Expansion 1, Party Box]
French Wines	The perfect complement to an overpriced meal. [Core Expansion 2, Party Box]
Fresh Water Pearls	String them along ... [Core Expansion 2, Party Box]
Friction	Resistance to the motion of a body in contact with another body ... any body will do. [Core Set, Party Box]
Friends & Family	There when you need them. [Core Expansion 4, Party Box Expansion 1]
Frisbees	The frisbee was introduced to the market in 1948. Take one for a spin. [Core Expansion 3, Party Box Expansion 1]
Frog & Toad	Characters in a series of children's books by Arnold Lobel, or any of the millions of frogs and toads who choose not to wear clothes. [Core Expansion 4, Party Box Expansion 1]
Frosty The Snowman	This snowman has a corncob pipe and a button nose. [Kids Set]
Fund Raising	Hello ... my name is Jonathan, would you like to buy some fruit, magazines, candy bars, wreaths, pizzas ... ? [Core Expansion 2, Party Box]
Funerals	"He who dies with the most toys is, nonetheless, still dead." - Anonymous [Core Set, Party Box]
Fur	The characteristic covering of mammals and people with money. [Core Set, Party Box]
Fuzz	Lint ... Policemen ... Whatever ... [Core Set, Party Box]
Gall Bladder	Where excess bile is stored. Stored for what, we don't know. [Core Expansion 2, Party Box]
Gang Members	"When you're a Jet, you're a Jet all the way..." -West Side Story [Core Set, Party Box]
Garbage Cans	A restaurant for raccoons. [Junior Set (1st) & (2nd)]
Gardening	Get in touch with your roots. [Core Expansion 3, Party Box Expansion 1]
Garrison Keillor	1942- , American author and radio star. He shares the Midwest perspective with 2.6 million listeners each week on A Prairie Home Companion. [Core Expansion 2, Party Box]
Garth Brooks	1962- , American country music singer and songwriter. He's got friends in low places. [Core Set, Party Box]
Geishas	Japanese women training in traditional singing, dancing, and entertaining. Of course, you would never recognize them without all that make-up. [Core Expansion 2, Party Box]
Gen. George S. Patton	1885-1945, the commander of the American Third Army during World War II. -a.k.a. Olf Blood and Guts [Core Expansion 1, Party Box]
Genetic Engineering	What DO you get when you cross a monkey with a potato? [Core Expansion 2, Party Box]
George & Jane, His Wife	The Jetsons television show first aired in 1962. In spite of our best efforts, cars still can't fly. [Core Expansion 4, Party Box Expansion 1]
Ghosts & Goblins	"I see dead people." - Cole Sear, The Sixth Sense [Core Expansion 4, Party Box Expansion 1]
George W. Bush	1946- , 43rd president of the United States. The second time ever that the son of a former president was elected to the office. [Core Set (2001 Printing Forward), Party Box]
George Washington	1732-99, First President of the United States. He chopped down a cherry tree to make false teeth, or something like that ... [Core Expansion 2, Party Box]
Georgia O'Keeffe	1887-1986, American abstract painter known for her still life compositions. Her skull paintings prove that beauty is more than skin deep. [Core Expansion 1, Party Box]
Getting A Hug	Hmmmm ... nice. [Core Set, Party Box]
Getting Head Lice	Tiny insects that live on the human scalp. Millions of children get head lice each year. [Junior Set (2nd)]
Getting Mail	Letters, cards, magazines and packages. Is there anything for me? [Kids Set]
Getting Stitches	Now they can sew you up or glue you back together. [Junior Set (2nd)]
Gettysburg, 1863	The turning point of the American Civil War, a bit more than four score and seven years ago. [Core Expansion 3, Party Box Expansion 1]
Ghost Towns	Population unknown. [Core Expansion 2, Party Box]
Ghosts	Nonmaterial embodiments or the essence of organisms (mostly human beings). Quite spirited [Core Set, Party Box]
GI Joe	He's an "action figure," not a "doll." [Junior Set (2nd)]
Giant Squid	Going fishing for giant squid? Nautilus I have to ... [Core Set, Party Box]
Gila Monsters	The largest, and only poisonous lizard found in the United States. [Core Expansion 2, Party Box]
Gilligan's Island	Who would have thought that you could make a radio out of coconuts. [Core Expansion 3, Party Box Expansion 1]
Ginger & Mary Ann	"Here on Gilligan's Isle." [Core Expansion 4, Party Box Expansion 1]
Gingko Trees	An Asiatic tree, Gingko biloba, known for its fan shaped leaves. We can't remember what it's good for. [Core Expansion 2, Party Box]
Ginseng	Common name for plants of the ginseng family, source of a stimulant and a supposed aphrodisiac. [Core Expansion 1, Party Box]
Giraffes	Giraffes can grow to 18 feet tall and have been known to kill a lion with a single kick. Not just another pretty face. [Core Expansion 3, Party Box Expansion 1]
Girl Scouts	I'll take six boxes of Thin Mints and three of the ... you know, the kind with the peanut butter. [Core Expansion 1, Party Box]
Girlfriends	Girlfriend - let's talk! [Core Expansion 2, Party Box]
Girls	"Sugar and spice and everything nice." [Kids Set]
Giving A Hug	"One may give without loving; but none can love without giving." -Anonymous [Core Set, Party Box]
Glaciers	It'll be a cold day when we see THEM again ... [Core Expansion 2, Party Box]
Glazed Donuts	If you're going to be late, take a box of donuts. [Core Expansion 2, Party Box]
Global Warming	Is it hot in here, or is it just me? [Core Expansion 1, Party Box]
Glue	Very sticky stuff! [Kids Set]
Go Karts	Go kart, go! [Core Expansion 3, Party Box Expansion 1]
Going On A Cruise	Iceberg, dead ahead! [Core Expansion 3, Party Box Expansion 1]
Going On Vacation	Pack your bags! [Junior Set (2nd)]
Going To Church	Weddings, funerals, bazaars, and bingo! [Core Expansion 2, Party Box]
Going To Grandma's	"Grandmother, what big teeth you have!" -Little Red Riding Hood [Core Expansion 1, Party Box]
Going To School	Secondary education? It's elementary. [Core Set, Party Box]
Going To The Dentist	This won't hurt a bit ... [Core Set, Party Box]
Going To The Gym	No pain, no gain. [Core Set, Party Box]
Gold & Silver	There's a good reason Fort Knox is full of golg and not silver. [Core Expansion 4, Party Box Expansion 1]
Gold Chains	The more, the better. [Core Expansion 2, Party Box]
Goldfish	The pet, the carnival prize, or the snack cracker. [Core Expansion 2, Party Box]
Goldie Hawn	1945- , American actor and producer. Famous for playing ditzy blondes -really well! [Core Expansion 1, Party Box]
Golf-Ball-Sized Hail	... which is almost as impressive as hail-sized golf balls ... [Core Set, Party Box]
Good & Plenty	The licorice candy was first produced in 1893, making it the oldest branded candy in the United States. [Core Expansion 4, Party Box Expansion 1]
Goose & The Gander	If it's good for the goose... [Core Expansion 4, Party Box Expansion 1]
Gossip	Petty, backbiting rumor-mongering. See also: journalism. [Core Expansion 1, Party Box]
Gourmet Coffee Shops	I'll have a tall, double cappuccino, wet, with vanilla, half decaf, - to walk. [Core Expansion 3, Party Box Expansion 1]
Grace Kelly	1929-82, Princess of Monaco and American film star of Dial M for Murder, Rear Window, and To Catch a Thief. Always chic, always elegant. [Core Expansion 2, Party Box]
Graffiti	Art in a can. We"re drawn to it. [Core Expansion 1, Party Box]
Grapefruit	Not a grape, but it is a fruit. [Junior Set (2nd)]
Grass Skirts	Hula loves you, baby? [Core Expansion 2, Party Box]
Grave Robbers	Famous for their bodies of work. [Core Expansion 1, Party Box]
Gravity	In 1684, the law of gravitation was formulated by English physicist Sir Isaac Newton, who recognized the gravity of the situation. [Core Set, Party Box]
Grease	Pretty slick! [Core Expansion 3, Party Box Expansion 1]
Grease & Grime	What would Martha do? [Core Expansion 4, Party Box Expansion 1]
Greenpeace	International organization dedicated to preserving the Earth's natural resources, and its diverse plant and animal life. [Core Expansion 2, Party Box]
Guitars	ROCK AND ROLL! [Junior Set (2nd)]
Gym Teachers	"I am a Physical Education Teacher. Call me a gym teacher again and you can drop and give me ten!" [Core Expansion 2, Party Box]
Haiku	Traditional form of Japanese poetry consisting of three lines, usually containing a reference to nature. [Core Expansion 3, Party Box Expansion 1]
Hair Transplants	Oh, it looks so natural ... [Core Expansion 2, Party Box]
Hairballs	Cough it up, kitty ... [Core Set, Party Box]
Halloween	The October 31st celebration featuring costumes, treats, and other spooky stuff. [Junior Set (2nd)]
Hamburgers	Do you want fries with that? [Junior Set (1st) & (2nd)]
Hammer & Nails	"If I had a hammer..." - Peter, Paul and Mary [Core Expansion 4, Party Box Expansion 1]
Hammer & Sickle	An emblem of the Communist movement, now retired... as is the Soviet Union. [Core Expansion 4, Party Box Expansion 1]
Hammers	"I'd rather be a hammer than a nail." [Junior Set (1st) & (2nd)]
Hand Grenades	Close only counts in horseshoes and hand grenades! [Core Expansion 2, Party Box]
Handcuffs	"You have the right to remain silent..." [Core Set, Party Box]
Handguns	Source of a never-ending controversy as to how to get them out of the hands of the bad guys and into the hands of the good guys. [Core Expansion 1, Party Box]
Hang Gliding	Trust us. It's a breeze. [Core Expansion 3, Party Box Expansion 1]
Hangnails	We've fingered the cause of the pain. [Core Set, Party Box]
Hansel & Gretel	One of Grimm's grimmer fairy tales. [Core Expansion 4, Party Box Expansion 1]
Hard Boiled Eggs	Well, I'll be deviled . . . [Core Expansion 3, Party Box Expansion 1]
Harrison Ford	1942-, Iconic American actor. "Hokey religions and ancient weapons are no match for a blaster at your side, kid." [Core Expansion 3, Party Box Expansion 1]
Harry Potter	The hero in a series of books by J.K. Rowling featuring muggles and wizards. [Core Expansion 3, Party Box Expansion 1]
Harvard & Yale	"What? Like it's hard?" - Reese Witherspoon, Legally Blond [Core Expansion 4, Party Box Expansion 1]
Having A Baby	"Rock-a-bye baby, on the tree top ..." Who would put a kid on a tree top? [Core Expansion 1, Party Box]
Having An Operation	What a cutup! A real stitch. [Core Set, Party Box]
Hawaii	The eight islands that make up America's 50th state entered the Union on August 21, 1959. [Core Set, Party Box]
Hawks & Doves	The big birds of war and peace. [Core Expansion 4, Party Box Expansion 1]
Head Lice	Head lice suck blood from the scalp and spread like crazy. A REAL parasite. [Core Expansion 3, Party Box Expansion 1]
Heart & Soul	They're yours. All yours! [Core Expansion 4, Party Box Expansion 1]
Heaven & Hell	The ups and down of the afterlife. [Core Expansion 4, Party Box Expansion 1]
Helen Keller	1880-1968, American author and lecturer who overcame deafness and blindness with the help of her companion, Anne Sullivan. [Core Set, Party Box]
Herb Gardens	Rosemary, Basil, Chive . . . is it a herb garden or the cast from a British drama? [Core Expansion 3, Party Box Expansion 1]
Here & There	And everywhere. [Core Expansion 4, Party Box Expansion 1]
Hiccups	How do you, hic, get em? How do you, hic, get rid of "em? [Core Expansion 1, Party Box]
High Heels	No running. [Junior Set (2nd)]
High School Football	The whole ten yards! [Core Set, Party Box]
High School Reunions	See also: "root canal, as fun as ..." [Core Expansion 1, Party Box]
Hillary Rodham Clinton	1947- , New York Senator, lawyer, and former American First Lady. [Core Set, Party Box]
Hills & Valleys	Nature's little ups and down. [Core Expansion 4, Party Box Expansion 1]
Hip Hop	Musical and cultural movement that gained popularity in the 1980s. Yo, yo, yo. [Core Expansion 3, Party Box Expansion 1]
Hiroshima	1945 - "I am become death, the destroyer of worlds" - J. Robert Oppenheimer, on the detonation of the first atmoic bomb. [Core Set, Party Box]
Hit & Run	An automobile crash, or a baseball play. [Core Expansion 4, Party Box Expansion 1]
HMOs	Heath Maintenance Organizations. Here's to your health ... [Core Expansion 2, Party Box]
Hockey	Did you hear about the big fight last night? All of a sudden, a hockey game broke out! [Core Set, Party Box]
Hollywood	Motion picture and television industry center of the world. Hooray for Hollywood! [Core Set, Party Box]
Hollywood & Vine	The Los Angeles street corner where dreams come true. [Core Expansion 4, Party Box Expansion 1]
Homeless Shelters	In the United States, nearly three-quarters of the help for the homeless comes from the private sector, mostly from church soup kitchens. [Core Expansion 2, Party Box]
Homer Simpson	Fictional cartoon character created by Matt Groening. D'oh! [Core Set, Party Box]
Homework	Finally, something to do during commercials. [Core Set, Party Box]
Hook & Ladder Trucks	One big reason to become a firefighter. [Core Expansion 4, Party Box Expansion 1]
Hootie & The Blowfish	One of the most commercially successful pop bands to emerge in the 1990s. I go blind when I think about them. [Core Expansion 4, Party Box Expansion 1]
Horse & Cart	Get the order right! [Core Expansion 4, Party Box Expansion 1]
Horseback Riding	WHOAAA!!! [Core Expansion 2, Party Box]
Hospital Gowns	Open all hours. [Core Expansion 3, Party Box Expansion 1]
Hot Chocolate	A good drink on a cold day. Just add marshmallows! [Kids Set]
Hot Lava	There's no better way to serve it. [Core Set, Party Box]
Hot Wheels Cars	Small, metal cars to play with and collect. They can go over 300 miles per hour downhill! [Kids Set]
Hotels & Motels	Get a room! [Core Expansion 4, Party Box Expansion 1]
House & Home	And money pit. [Core Expansion 4, Party Box Expansion 1]
House Guests	How many visitors does it take to drive you crazy? Go on -take a guest! [Core Expansion 1, Party Box]
Howard Stern	1954-, American shock disc jockey. His autobiography is titled Private Parts. If only they WERE private. [Core Expansion 3, Party Box Expansion 1]
Hummingbirds	Why do hummingbirds hum? Because they don't know the words ... ... da-dum, dum! [Core Set, Party Box]
